2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Labor force exit rate, 2023–33 annual average","Occupational transfer rate, 2023–33 annual average","Total occupational separations rate, 2023–33 annual average","Labor force exits, 2023–33 annual average","Occupational transfers, 2023–33 annual average","Total occupational separations, 2023–33 annual average","Occupational openings, 2023–33 annual average"
      Management analysts,13-1111,Line item,"1,018.3","1,126.2",107.9,10.6,3.1,4.8,7.9,33.3,51.6,84.9,95.7
"      Compensation, benefits, and job analysis specialists",13-1141,Line item,103.7,111.0,7.2,7.0,2.7,4.3,7.0,2.9,4.6,7.5,8.2
      Market research analysts and marketing specialists,13-1161,Line item,903.4,978.3,74.9,8.3,2.6,6.0,8.6,24.7,56.3,81.0,88.5
      Budget analysts,13-2031,Line item,50.8,52.7,2.0,3.9,2.3,3.9,6.2,1.2,2.0,3.2,3.4
      Credit analysts,13-2041,Line item,73.7,70.8,-2.8,-3.9,1.8,5.0,6.8,1.3,3.6,4.9,4.6
        Financial and investment analysts,13-2051,Line item,347.4,380.5,33.1,9.5,1.9,4.3,6.2,6.9,15.8,22.7,26.1
        Computer systems analysts,15-1211,Line item,527.2,583.7,56.5,10.7,2.5,3.2,5.7,14.0,17.7,31.7,37.3
        Information security analysts,15-1212,Line item,180.7,239.8,59.1,32.7,1.7,3.7,5.4,3.6,7.8,11.4,17.3
        Software quality assurance analysts and testers,15-1253,Line item,205.0,229.2,24.2,11.8,2.4,3.4,5.8,5.2,7.4,12.6,15.0
      Operations research analysts,15-2031,Line item,123.3,151.6,28.3,23.0,3.2,3.0,6.2,4.4,4.1,8.5,11.3
"      News analysts, reporters, and journalists",27-3023,Line item,49.8,48.4,-1.4,-2.7,4.1,5.4,9.5,2.0,2.7,4.7,4.5
